application_number,filing_date,application_invention_type,examiner_full_name,examiner_art_unit,uspc_class,uspc_subclass,confirm_number,atty_docket_number,appl_status_desc,appl_status_date,file_location,file_location_date,earliest_pgpub_number,earliest_pgpub_date,wipo_pub_number,wipo_pub_date,patent_number,patent_issue_date,invention_title,small_entity_indicator,aia_first_to_file,publication_number,date_application_produced,date_application_published,main_cpc_label,cpc_labels,main_ipcr_label,ipcr_labels,foreign,continuation,decision,decision_as_of_2020,npe_litigated_count,main_ipcr_label_subclass,filing_year
11932898,2007-10-31,Utility,"RUDY, ANDREW J",3687,705,027000,3024.0,8116.003.USCN01,Patented Case,2010-01-27,ELECTRONIC,,US20080120185A1,2008-05-22,,,7665105,2010-02-16,SYSTEM AND METHOD FOR COMPUTER-CREATED ADVERTISEMENTS,UNDISCOUNTED,false,US20080120185A1-20080522,2008-05-10,2008-05-22,,,G06Q3000,G06Q3000,False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,G06Q,2007
11933005,2007-10-31,Utility,"CAMMACK, DAVID S",2625,358,001150,3149.0,FXT309,Patented Case,2011-04-27,ELECTRONIC,,US20080278746A1,2008-11-13,,,7944577,2011-05-17,OUTPUT CONTROLLER FOR MOBILE AND PERVASIVE DIGITAL CONTENT OUTPUT,UNDISCOUNTED,false,US20080278746A1-20081113,2008-10-30,2008-11-13,,,G06F312,G06F312,False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,G06F,2007
11933022,2007-10-31,Utility,"CHANG, JUNGWON",2454,709,236000,3169.0,6743-00102,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2014-06-02,ELECTRONIC,,US20080133642A1,2008-06-05,,,7711857,2010-05-04,METHOD AND SYSTEM FOR DATA DEMULTIPLEXING,UNDISCOUNTED,false,US20080133642A1-20080605,2008-05-22,2008-06-05,,,G06F1516,G06F1516,False,1,CONT-ACCEPTED,CONT-ACCEPTED,6,G06F,2007
11934049,2007-11-01,Utility,"JACKSON, SHAWQUIA",1626,514,307000,4850.0,243884.000075,Patented Case,2010-08-18,ELECTRONIC,,US20080182839A1,2008-07-31,,,7790743,2010-09-07,MODULATORS OF CELLULAR ADHESION,UNDISCOUNTED,false,US20080182839A1-20080731,2008-07-16,2008-07-31,,,A61K3147,"A61K3147, A61K31506, A61K31397, A61P2900, A61P3700",False,1,CONT-ACCEPTED,CONT-ACCEPTED,2,A61K,2007
11934320,2007-11-02,Utility,"MORROW, JASON S",3612,296,097230,5448.0,31700.000122,Patented Case,2010-03-10,ELECTRONIC,,US20080061580A1,2008-03-13,,,7686370,2010-03-30,VEHICLE FOOT WELL AND FLOOR TRAY SYSTEM,UNDISCOUNTED,false,US20080061580A1-20080313,2008-02-27,2008-03-13,,,B62D2520,B62D2520,False,1,CONT-ACCEPTED,CONT-ACCEPTED,3,B62D,2007
11934359,2007-11-02,Utility,"POHNERT, STEVEN C",1634,435,006000,5535.0,1796-0010US02,Patented Case,2008-09-10,ELECTRONIC,,US20080076135A1,2008-03-27,,,7429456,2008-09-30,IDENTIFICATION OF A JAK2 MUTATION IN POLYCYTHEMIA VERA,UNDISCOUNTED,false,US20080076135A1-20080327,2008-03-12,2008-03-27,,,C12Q168,C12Q168,True,1,CONT-ACCEPTED,CONT-ACCEPTED,1,C12Q,2007
11934617,2007-11-02,Utility,"ADAMS, GREGORY W",3652,414,400000,6122.0,113790-010800,Patented Case,2010-03-31,ELECTRONIC,,US20080038100A1,2008-02-14,,,7699575,2010-04-20,LOADING ASSEMBLY FOR TRANSPORT CONTAINERS AND RELATED METHOD OF USE,SMALL,false,US20080038100A1-20080214,2008-01-30,2008-02-14,,,B65G6500,B65G6500,False,1,CONT-ACCEPTED,CONT-ACCEPTED,3,B65G,2007
11935203,2007-11-05,Utility,"LAZORCIK, JASON L",1741,65,033800,7459.0,173P104A,Patented Case,2011-10-12,ELECTRONIC,,US20080125303A1,2008-05-29,,,8047021,2011-11-01,LITHIUM SILICATE MATERIALS,UNDISCOUNTED,false,US20080125303A1-20080529,2008-05-14,2008-05-29,,,C03C1012,C03C1012,True,1,CONT-ACCEPTED,CONT-ACCEPTED,6,C03C,2007
11935221,2007-11-05,Utility,"LAZORCIK, JASON L",1741,65,033800,7504.0,173P104B,Patented Case,2011-10-05,ELECTRONIC,,US20080120994A1,2008-05-29,,,8042358,2011-10-25,LITHIUM SILICATE MATERIALS,UNDISCOUNTED,false,US20080120994A1-20080529,2008-05-14,2008-05-29,,,C03B27012,C03B27012,True,1,CONT-ACCEPTED,CONT-ACCEPTED,4,C03B,2007
11935344,2007-11-05,Utility,"PHILIPPE, GIMS S",2621,348,036000,7722.0,320528402US2,Patented Case,2010-05-19,ELECTRONIC,,US20080118183A1,2008-05-22,,,7733368,2010-06-08,VIRTUAL REALITY CAMERA,UNDISCOUNTED,false,US20080118183A1-20080522,2008-05-09,2008-05-22,,,G06K932,G06K932,False,1,CONT-ACCEPTED,CONT-ACCEPTED,6,G06K,2007
11935401,2007-11-05,Utility,"DESTA, ELIAS",2857,702,117000,7838.0,4276-116,Application Involved in Court Proceedings,2019-05-17,ELECTRONIC,,US20090119042A1,2009-05-07,,,7623982,2009-11-24,METHOD OF TESTING AN ELECTRONIC CIRCUIT AND APPARATUS THEREOF,SMALL,false,US20090119042A1-20090507,2009-04-23,2009-05-07,,,G06F1900,G06F1900,False,0,ACCEPTED,ACCEPTED,1,G06F,2007
11936166,2007-11-07,Utility,"LE, QUE TAN",2878,250,208100,9328.0,MAG04 P-1397,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2016-10-10,ELECTRONIC,,US20080054161A1,2008-03-06,,,7423248,2008-09-09,AN AUTOMATIC EXTERIOR LIGHT CONTROL FOR A VEHICLE,UNDISCOUNTED,false,US20080054161A1-20080306,2008-02-20,2008-03-06,,,B60Q104,B60Q104,False,1,CONT-ACCEPTED,CONT-ACCEPTED,3,B60Q,2007
11936854,2007-11-08,Utility,"CARTER, TARA ROSE E",3733,606,086000,1600.0,05015228-101US-2,Patented Case,2010-12-08,ELECTRONIC,,US20080065085A1,2008-03-13,,,7857821,2010-12-28,SURGICAL UNIVERSAL POSITIONING BLOCK AND TOOL GUIDE,UNDISCOUNTED,false,US20080065085A1-20080313,2008-02-27,2008-03-13,,,A61F500,A61F500,False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,A61F,2007
11937422,2007-11-08,Utility,"TRINH, SONNY",2618,455,127200,1703.0,PAN-007A (62906_CON1),Patented Case,2011-03-09,ELECTRONIC,,US20080182532A1,2008-07-31,,,7917102,2011-03-29,RADIO TRANSMITTING APPARATUS AND RADIO TRANSMISSION METHOD,UNDISCOUNTED,false,US20080182532A1-20080731,2008-07-16,2008-07-31,,,H01Q1112,"H01Q1112, H04B104",False,1,CONT-ACCEPTED,CONT-ACCEPTED,4,H01Q,2007
11937445,2007-11-08,Utility,"CHANDRAKUMAR, NIZAL S",1625,546,095000,1756.0,46696-0009001 021.US2.REG,Patented Case,2011-09-28,ELECTRONIC,,US20080167337A1,2008-07-10,,,8039627,2011-10-18,"SUBSTITUTED 3-ISOBUTYL-9,10-DIMETHOXY-1,3,4,6,7,11B-HEXAHYDRO-2H-PYRIDO[2,1-A]ISOQUINOLIN-2-OL COMPOUNDS AND METHODS RELATING THERETO",UNDISCOUNTED,false,US20080167337A1-20080710,2008-06-25,2008-07-10,,,A61K31473,"A61K31473, C07D45506, A61P2514",False,0,ACCEPTED,ACCEPTED,4,A61K,2007
11938479,2007-11-12,Utility,"OSTERHOUT, BENJAMIN LEE",1711,134,184000,4067.0,E273.0009US1,Patented Case,2012-05-23,ELECTRONIC,,US20080178909A1,2008-07-31,,,8197609,2012-06-12,AUTOMATED DETECTION AND CONTROL SYSTEM AND METHOD FOR HIGH PRESSURE WATER WASH APPLICATION AND COLLECTION APPLIED TO AERO COMPRESSOR WASHING,UNDISCOUNTED,false,US20080178909A1-20080731,2008-07-16,2008-07-31,,,B08B302,B08B302,False,0,ACCEPTED,ACCEPTED,2,B08B,2007
11938940,2007-11-13,Utility,"KIM, SUN U",1797,210,252000,5012.0,07552.0021-01000,Patented Case,2010-05-12,ELECTRONIC,,US20080060988A1,2008-03-13,,,7727391,2010-06-01,EXTRACORPOREAL BLOOD TREATMENT MACHINE,UNDISCOUNTED,false,US20080060988A1-20080313,2008-02-27,2008-03-13,,,B01D2950,"B01D2950, B01D2900, B01D2952",True,1,CONT-ACCEPTED,CONT-ACCEPTED,2,B01D,2007
11939023,2007-11-13,Utility,"JARRELL, NOBLE E",1625,548,426000,5188.0,OR06811US02,Patented Case,2017-07-25,ELECTRONIC,,US20080200671A1,2008-08-21,,,8022228,2011-09-20,CRYSTAL FORM OF ASENAPINE MALEATE,UNDISCOUNTED,false,US20080200671A1-20080821,2008-08-05,2008-08-21,,,C07D26700,C07D26700,False,1,CONT-ACCEPTED,CONT-ACCEPTED,3,C07D,2007
11939183,2007-11-13,Utility,"MUSTAFA, IMRAN K",3668,701,045000,5491.0,ATI-354,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2017-01-30,ELECTRONIC,,US20080082237A1,2008-04-03,,,8346438,2013-01-01,REAR IMPACT DETECTION METHOD AND SYSTEM,UNDISCOUNTED,false,US20080082237A1-20080403,2008-03-18,2008-04-03,,,G06F700,G06F700,False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,G06F,2007
11939481,2007-11-13,Utility,"MORAN, KATHERINE M",3765,2,426000,6050.0,15042-68881,Patented Case,2012-09-05,ELECTRONIC,,US20090119823A1,2009-05-14,,,8272075,2012-09-25,FRAMELESS DIVING MASK,SMALL,false,US20090119823A1-20090514,2009-04-29,2009-05-14,,,A61F902,"A61F902, A61F900",True,0,ACCEPTED,ACCEPTED,1,A61F,2007
11939519,2007-11-13,Utility,"LIU, CHU CHUAN",3777,600,323000,6131.0,MASIMO.285C2,Patented Case,2013-05-15,ELECTRONIC,,US20080064936A1,2008-03-13,,,8457703,2013-06-04,LOW POWER PULSE OXIMETER,UNDISCOUNTED,false,US20080064936A1-20080313,2008-02-27,2008-03-13,,,A61B500,A61B500,False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,A61B,2007
11939689,2007-11-14,Utility,"CLERKLEY, DANIELLE A",3643,119,171000,6452.0,TAS-17402/06,Patented Case,2012-06-06,ELECTRONIC,,US20080110404A1,2008-05-15,,,8205576,2012-06-26,ANIMAL LITTER CONTAINING TWISTED PAPER RODS AND METHOD OF PROVIDING A DOMESTICATED ANIMAL WITH MENTAL STIMULATION,UNDISCOUNTED,false,US20080110404A1-20080515,2008-05-01,2008-05-15,,,A01K1015,A01K1015,False,0,ACCEPTED,ACCEPTED,1,A01K,2007
11940310,2007-11-14,Utility,"FORMAN, BETTY J",1634,435,283100,7558.0,HANLB.033A,Patented Case,2014-04-09,ELECTRONIC,,US20090047713A1,2009-02-19,,,8709787,2014-04-29,Microfluidic Cartridge and Method of Using Same,UNDISCOUNTED,false,US20090047713A1-20090219,2009-02-05,2009-02-19,,,C12P1934,"C12P1934, C12M140",False,0,ACCEPTED,ACCEPTED,1,C12P,2007
11940384,2007-11-15,Utility,"DURHAM, NATHAN E",3765,223,085000,7707.0,54501.1.7,Patented Case,2010-07-28,ELECTRONIC,,US20080116235A1,2008-05-22,,,7775410,2010-08-17,BOOT HOLDING DEVICES,SMALL,false,US20080116235A1-20080522,2008-05-09,2008-05-22,,,A41D2722,"A41D2722, A47F708, A47F508",False,0,ACCEPTED,ACCEPTED,2,A41D,2007
11940831,2007-11-15,Utility,"LEE, CHEUNG",2812,438,300000,8520.0,Q105183,Patented Case,2010-04-21,ELECTRONIC,,US20080116583A1,2008-05-22,,,7713828,2010-05-11,SEMICONDUCTOR DEVICE AND METHOD OF FORMING THE SAME,UNDISCOUNTED,false,US20080116583A1-20080522,2008-05-09,2008-05-22,,,H01L21336,"H01L21336, H01L2940",True,0,ACCEPTED,ACCEPTED,1,H01L,2007
11940885,2007-11-15,Utility,"TRAN, TRANG Q",2811,257,098000,8622.0,G&C 30794.203-US-U1,Patented Case,2014-09-24,ELECTRONIC,,US20080128730A1,2008-06-05,,,8860051,2014-10-14,TEXTURED PHOSPHOR CONVERSION LAYER LIGHT EMITTING DIODE,UNDISCOUNTED,false,US20080128730A1-20080605,2008-05-21,2008-06-05,,,H01L3300,H01L3300,False,0,ACCEPTED,ACCEPTED,1,H01L,2007
11940898,2007-11-15,Utility,"SOWARD, IDA M",2822,257,098000,8642.0,30794.206-US-U1,Patented Case,2010-08-04,ELECTRONIC,,US20080128731A1,2008-06-05,,,7781789,2010-08-24,TRANSPARENT MIRRORLESS LIGHT EMITTING DIODE,UNDISCOUNTED,false,US20080128731A1-20080605,2008-05-21,2008-06-05,,,H01L3300,"H01L3300, H01L2100",False,0,ACCEPTED,ACCEPTED,8,H01L,2007
11941351,2007-11-16,Utility,"KELLY, ROBERT M",1633,623,001120,9480.0,ETHI-0039/ ETH1434USCNT13,Patented Case,2009-09-02,ELECTRONIC,,US20080051865A1,2008-02-28,,,7591844,2009-09-22,"MEDICAL DEVICES, DRUG COATINGS AND METHODS FOR MAINTAINING THE DRUG COATINGS THEREON",UNDISCOUNTED,false,US20080051865A1-20080228,2008-02-14,2008-02-28,,,A61F206,"A61F206, B05D302",False,1,CONT-ACCEPTED,CONT-ACCEPTED,3,A61F,2007
11941406,2007-11-16,Utility,"SEMBER, THOMAS M",2885,362,267000,9576.0,70070096-1,Application Involved in Court Proceedings,2020-09-17,ELECTRONIC,,US20090129085A1,2009-05-21,,,7524087,2009-04-28,OPTICAL DEVICE,UNDISCOUNTED,false,US20090129085A1-20090521,2009-05-06,2009-05-21,,,F21V700,F21V700,False,0,ACCEPTED,ACCEPTED,9,F21V,2007
11941475,2007-11-16,Utility,"ZISKA, SUZANNE E",1619,424,458000,9716.0,063089-0130,Patented Case,2012-10-10,ELECTRONIC,,US20080118557A1,2008-05-22,,,8298576,2012-10-30,SUSTAINED-RELEASE FORMULATIONS OF TOPIRAMATE,UNDISCOUNTED,false,US20080118557A1-20080522,2008-05-09,2008-05-22,,,A61K31357,"A61K31357, A61K914, A61K924, A61K954",False,0,ACCEPTED,ACCEPTED,10,A61K,2007
11941582,2007-11-16,Utility,"ORTIZ ROMAN, DENISSE Y",3627,705,034000,9918.0,SYCR0004,Patented Case,2010-07-21,ELECTRONIC,,US20080243657A1,2008-10-02,,,7774245,2010-08-10,BUILDING OPTIMIZATION PLATFORM AND WEB-BASED INVOICING SYSTEM,SMALL,false,US20080243657A1-20081002,2008-09-17,2008-10-02,,,G06Q3000,G06Q3000,False,0,ACCEPTED,ACCEPTED,2,G06Q,2007
11941918,2007-11-16,Utility,"RICCI, JOHN A",3711,124,088000,1594.0,M55.2-14894-US01,Patented Case,2011-10-12,ELECTRONIC,,US20080127961A1,2008-06-05,,,8047189,2011-11-01,LIMB MOUNTING SYSTEM,SMALL,false,US20080127961A1-20080605,2008-05-21,2008-06-05,,,F41B514,"F41B514, F41B510",False,0,ACCEPTED,ACCEPTED,2,F41B,2007
11942260,2007-11-19,Utility,"KRAMER, DEAN J",3652,294,147000,1279.0,21713-003007,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2017-01-30,ELECTRONIC,,US20080066264A1,2008-03-20,,,7469946,2008-12-30,WRAP FOR BUNDLING OBJECTS,SMALL,false,US20080066264A1-20080320,2008-03-05,2008-03-20,,,B65D6300,B65D6300,False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,B65D,2007
11942280,2007-11-19,Utility,"KRAMER, DEAN J",3652,294,147000,1316.0,21713-003008,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2018-04-09,ELECTRONIC,,US20080067823A1,2008-03-20,,,7673919,2010-03-09,WRAP FOR BUNDLING OBJECTS,SMALL,false,US20080067823A1-20080320,2008-03-05,2008-03-20,,,A63C1102,A63C1102,False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,A63C,2007
11942449,2007-11-19,Utility,"GODDARD, LAURA B",1642,424,133100,1617.0,GNE-0330 D2C1 (24126.550),Patented Case,2011-07-20,ELECTRONIC,,US20080112958A1,2008-05-15,,,7993834,2011-08-09,DETECTION OF ErbB2 GENE AMPLIFICATION TO INCREASE THE LIKELIHOOD OF THE EFFECTIVENESS OF ErbB2 ANTIBODY BREAST CANCER THERAPY,UNDISCOUNTED,false,US20080112958A1-20080515,2008-05-01,2008-05-15,,,A61K39395,"A61K39395, C12Q168, A61P3500",False,1,CONT-ACCEPTED,CONT-ACCEPTED,6,A61K,2007
11942616,2007-11-19,Utility,"REVAK, CHRISTOPHER A",2431,713,153000,1922.0,2011001 / US3,Patented Case,2013-11-06,ELECTRONIC,,US20080219254A1,2008-09-11,,,8595478,2013-11-26,WIDE AREA NETWORK WITH HIGH QUALITY OF SERVICE,SMALL,false,US20080219254A1-20080911,2008-08-28,2008-09-11,,,H04L1228,H04L1228,False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,H04L,2007
11943162,2007-11-20,Utility,"SINES, BRIAN J",1772,436,052000,2962.0,7966 P1,Patented Case,2011-06-29,ELECTRONIC,,US20080199969A1,2008-08-21,,,7981679,2011-07-19,METHOD OF MONITORING BULK (TOTAL) MICROBIOLOGICAL ACTIVITY IN PROCESS STREAMS,UNDISCOUNTED,false,US20080199969A1-20080821,2008-08-05,2008-08-21,,,G01N3300,G01N3300,False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,G01N,2007
11943184,2007-11-20,Utility,"SINES, BRIAN J",1772,436,052000,2997.0,7966 P2,Patented Case,2011-05-04,ELECTRONIC,,US20080196853A1,2008-08-21,,,7949432,2011-05-24,METHOD OF MONITORING SURFACE ASSOCIATED MICROBIOLOGICAL ACTIVITY IN PROCESS STREAMS,UNDISCOUNTED,false,US20080196853A1-20080821,2008-08-05,2008-08-21,,,D21H1766,"D21H1766, D21H1707",False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,D21H,2007
11943291,2007-11-20,Utility,"GRANT II, JEROME",2625,358,001150,3195.0,2551.080,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2020-01-13,ELECTRONIC,,US20080068652A1,2008-03-20,,,8072637,2011-12-06,MULTIPLE INTEGRATED MACHINE SYSTEM,UNDISCOUNTED,false,US20080068652A1-20080320,2008-03-05,2008-03-20,,,G06F1500,G06F1500,False,1,CONT-ACCEPTED,CONT-ACCEPTED,12,G06F,2007
11943540,2007-11-20,Utility,"PATEL, KANJIBHAI B",2624,382,284000,3667.0,,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2018-12-24,ELECTRONIC,,US20080130043A1,2008-06-05,,,7835591,2010-11-16,METHODS AND APPARATUS FOR GENERATING COMPOSITE IMAGES,UNDISCOUNTED,false,US20080130043A1-20080605,2008-05-21,2008-06-05,,,G06F1500,G06F1500,False,1,CONT-ACCEPTED,CONT-ACCEPTED,5,G06F,2007
11943714,2007-11-21,Utility,"DICKINSON, PAUL W",1618,424,070100,3985.0,17481CON2,Patented Case,2011-09-28,ELECTRONIC,,US20080070988A1,2008-03-20,,,8038988,2011-10-18,METHOD OF ENHANCING HAIR GROWTH,UNDISCOUNTED,false,US20080070988A1-20080320,2008-03-05,2008-03-20,,,A61K31165,"A61K31165, A61Q700",False,1,CONT-ACCEPTED,CONT-ACCEPTED,5,A61K,2007
11944477,2007-11-23,Utility,"PAINTER, BRANON C",3635,52,002110,5448.0,502-03,Patented Case,2011-04-27,ELECTRONIC,,US20080120919A1,2008-05-29,,,7941974,2011-05-17,INFLATABLE SHELTER FOR USE IN HOSTILE ENVIRONMENT,SMALL,false,US20080120919A1-20080529,2008-05-14,2008-05-29,,,E04H1520,E04H1520,False,0,ACCEPTED,ACCEPTED,2,E04H,2007
11945000,2007-11-26,Utility,"NGUYEN, PHU K",2628,345,419000,6588.0,065441-5003-US01,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2015-04-27,ELECTRONIC,,US20080068400A1,2008-03-20,,,7916138,2011-03-29,ELECTRO-OPTIC VISION SYSTEMS,SMALL,false,US20080068400A1-20080320,2008-03-05,2008-03-20,,,G01C2120,G01C2120,False,1,CONT-ACCEPTED,CONT-ACCEPTED,7,G01C,2007
11945174,2007-11-26,Utility,"COLLADO, CYNTHIA FRANCISCA",3781,150,105000,6901.0,20160096.ORI,Patented Case,2015-11-11,ELECTRONIC,,US20080230158A1,2008-09-25,,,9198489,2015-12-01,SYSTEMS AND METHODS FOR CUSTOMIZING HANDBAGS,SMALL,false,US20080230158A1-20080925,2008-09-11,2008-09-25,,,A45C308,"A45C308, A45C1308, B65D6900",True,0,ACCEPTED,ACCEPTED,1,A45C,2007
11945480,2007-11-27,Utility,"TSO, LAURA K",2875,362,241000,7458.0,010703US2,Patented Case,2010-09-15,ELECTRONIC,,US20080123057A1,2008-05-29,,,7806558,2010-10-05,METHODS AND APPARATUS FOR PROVIDING UNIFORM PROJECTION LIGHTING,UNDISCOUNTED,false,US20080123057A1-20080529,2008-05-14,2008-05-29,,,G03B2120,"G03B2120, F21S1314",False,0,ACCEPTED,ACCEPTED,2,G03B,2007
11945505,2007-11-27,Utility,"WANG-HURST, KATHY W",2617,455,574000,7512.0,GORIS 11-11-N-USA,Patented Case,2012-05-30,ELECTRONIC,,US20080070639A1,2008-03-20,,,8204554,2012-06-19,SYSTEM AND METHOD FOR CONSERVING BATTERY POWER IN A MOBILE STATION,UNDISCOUNTED,false,US20080070639A1-20080320,2008-03-05,2008-03-20,,,H04B138,H04B138,False,1,CONT-ACCEPTED,CONT-ACCEPTED,13,H04B,2007
11945716,2007-11-27,Utility,"ABBOTT-LEWIS, YVONNE RENEE",3644,119,707000,7872.0,OP-1991,Patented Case,2011-01-12,ELECTRONIC,,US20100326368A1,2010-12-30,,,7878151,2011-02-01,FETCH AND RETRIEVE TOSSING TOY,SMALL,false,US20100326368A1-20101230,2010-12-15,2010-12-30,,,A01K2900,A01K2900,False,0,ACCEPTED,ACCEPTED,2,A01K,2007
11946221,2007-11-28,Utility,"FERGUSON, KEITH",2618,455,518000,8826.0,PATCM11901J-US-PRI,Patented Case,2011-09-14,ELECTRONIC,,US20090137263A1,2009-05-28,,,8032169,2011-10-04,SYSTEM AND METHOD FOR PROVIDING LOW OVERHEAD FLOOR CONTROL IN A DISTRIBUTED PEER-TO-PEER COMMUNICATIONS NETWORK,UNDISCOUNTED,false,US20090137263A1-20090528,2009-05-13,2009-05-28,,,H04B700,H04B700,False,0,ACCEPTED,ACCEPTED,1,H04B,2007
11946602,2007-11-28,Utility,"CARTER, AARON W",2624,382,203000,9473.0,00169.155767.,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,2020-09-14,ELECTRONIC,,US20080144942A1,2008-06-19,,,8238666,2012-08-07,RECOGNITION OF PARAMETERISED SHAPES FROM DOCUMENT IMAGES,UNDISCOUNTED,false,US20080144942A1-20080619,2008-06-05,2008-06-19,,,G06K962,G06K962,True,0,ACCEPTED,ACCEPTED,1,G06K,2007
11946765,2007-11-28,Utility,"COLE, MONIQUE T",1773,436,173000,9763.0,054769-9991,Patented Case,2011-06-15,ELECTRONIC,,US20090137056A1,2009-05-28,,,7972868,2011-07-05,METHODS FOR DETECTING DIHYDROXYVITAMIN D METABOLITES BY MASS SPECTROMETRY,UNDISCOUNTED,false,US20090137056A1-20090528,2009-05-13,2009-05-28,,,G01N3300,G01N3300,False,0,ACCEPTED,ACCEPTED,1,G01N,2007
11946828,2007-11-28,Utility,"BAEK, BONG-SOOK",1629,514,249000,9874.0,17501CON2 (AP),Patented Case,2012-02-22,ELECTRONIC,,US20080132512A1,2008-06-05,,,8133890,2012-03-13,COMBINATION OF BRIMONIDINE AND TIMOLOL FOR TOPICAL OPHTHALMIC USE,UNDISCOUNTED,false,US20080132512A1-20080605,2008-05-21,2008-06-05,,,A61K31517,"A61K31517, A61P2704",False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,A61K,2007
11946831,2007-11-28,Utility,"LINDSAY JR, WALTER LEE",2812,438,052000,9878.0,KGC-PA219,Patented Case,2010-02-03,ELECTRONIC,,US20090137113A1,2009-05-28,,,7666702,2010-02-23,METHOD FOR FABRICATING A MICROSTRUCTURE,SMALL,false,US20090137113A1-20090528,2009-05-13,2009-05-28,,,H01L214763,H01L214763,False,0,ACCEPTED,ACCEPTED,2,H01L,2007
11946976,2007-11-29,Utility,"TRUONG, THANHNGA B",2438,726,017000,1104.0,6257-62712,Patented Case,2013-06-05,ELECTRONIC,,US20080072291A1,2008-03-20,,,8474016,2013-06-25,"SECURE MANAGEMENT ACCESS CONTROL FOR COMPUTERS, EMBEDDED AND CARD EMBODIMENT",UNDISCOUNTED,false,US20080072291A1-20080320,2008-03-05,2008-03-20,,,H04L900,H04L900,False,1,CONT-ACCEPTED,CONT-ACCEPTED,1,H04L,2007
11947202,2007-11-29,Utility,"LAYNO, BENJAMIN",3711,273,14900R,1480.0,35761-9,Patented Case,2010-02-10,ELECTRONIC,,US20080073842A1,2008-03-27,,,7669853,2010-03-02,CARD SHUFFLING MACHINE,SMALL,false,US20080073842A1-20080327,2008-03-12,2008-03-27,,,A63F112,"A63F112, A63F100",False,1,CONT-ACCEPTED,CONT-ACCEPTED,3,A63F,2007
11947265,2007-11-29,Utility,"KHAJURIA, SHRIPAL K",2478,709,245000,1591.0,00862.138339.,Patented Case,2014-04-23,ELECTRONIC,,US20080147776A1,2008-06-19,,,8725897,2014-05-13,COMMUNICATION APPARATUS AND CONTROL METHOD THEREOF,UNDISCOUNTED,false,US20080147776A1-20080619,2008-06-05,2008-06-19,,,G06F1516,G06F1516,True,0,ACCEPTED,ACCEPTED,1,G06F,2007
11947557,2007-11-29,Utility,"RIZK, SAMIR WADIE",2112,714,807000,1127.0,QM000051,Patented Case,2012-01-25,ELECTRONIC,,US20090110109A1,2009-04-30,,,8117526,2012-02-14,APPARATUS AND METHOD FOR GENERATING A TRANSMIT SIGNAL AND APPARATUS AND METHOD FOR EXTRACTING AN ORIGINAL MESSAGE FROM A RECEIVED SIGNAL,UNDISCOUNTED,false,US20090110109A1-20090430,2009-04-15,2009-04-30,,,H04L2700,H04L2700,False,0,ACCEPTED,ACCEPTED,1,H04L,2007
11947719,2007-11-29,Utility,"BEAULIEU, YONEL",3661,455,456300,1445.0,20-356,Patented Case,2011-08-17,ELECTRONIC,,US20080076451A1,2008-03-27,,,8014939,2011-09-06,POINT OF INTEREST SPATIAL RATING SEARCH,UNDISCOUNTED,false,US20080076451A1-20080327,2008-03-12,2008-03-27,,,H04Q720,H04Q720,False,1,CONT-ACCEPTED,CONT-ACCEPTED,5,H04Q,2007
11947722,2007-11-29,Utility,"HOWELL, DANIEL W",3726,408,11500R,1457.0,22367.0034 - K0019,Patented Case,2012-07-11,ELECTRONIC,,US20080219786A1,2008-09-11,,,8231313,2012-07-31,ADJUSTABLE HOLDING SYSTEM,SMALL,false,US20080219786A1-20080911,2008-08-28,2008-09-11,,,B23B4728,B23B4728,False,1,CONT-ACCEPTED,CONT-ACCEPTED,2,B23B,2007
11948005,2007-11-30,Utility,"PUENTES, DANIEL CALRISSIAN",2816,327,536000,1962.0,MT10836TS,Patented Case,2010-08-25,ELECTRONIC,,US20090140795A1,2009-06-04,,,7795951,2010-09-14,HIGH-DYNAMIC RANGE LOW RIPPLE VOLTAGE MULTIPLIER,UNDISCOUNTED,false,US20090140795A1-20090604,2009-05-20,2009-06-04,,,G05F110,G05F110,False,0,ACCEPTED,ACCEPTED,2,G05F,2007
